City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,atar,20.52,-13.05,70.12,27,86,4.41,MR,1609366150
302,haifa,32.82,34.99,57.0,61,0,1.01,IL,1609366150
303,macenta,8.54,-9.47,69.96,26,0,2.26,GN,1609366151
304,san cristobal,7.77,-72.22,80.6,61,40,8.05,VE,1609366151
305,indian head,38.6,-77.16,44.6,39,1,8.05,US,1609366155
306,strezhevoy,60.73,77.59,-14.8,75,75,6.71,RU,1609366155
307,saint-joseph,-21.37,55.62,77.0,78,20,23.04,RE,1609366155
308,victoria,22.29,114.16,46.0,22,2,11.01,HK,1609366081
309,landeck,47.13,10.56,30.0,78,40,5.82,AT,1609366155
310,hambantota,6.12,81.12,75.2,100,40,5.82,LK,1609366156
311,passo de camaragibe,-9.24,-35.49,78.8,78,40,6.93,BR,1609366156
312,zamora,-4.07,-78.96,82.4,48,20,11.41,EC,1609366156
313,daly city,37.71,-122.46,55.0,81,70,7.0,US,1609366157
314,matara,5.95,80.54,75.56,87,36,9.48,LK,1609366157
315,chicama,-7.84,-79.15,69.8,83,75,5.82,PE,1609366157
316,pochutla,15.74,-96.47,87.01,62,5,11.41,MX,1609366158
317,kulhudhuffushi,6.62,73.07,82.04,77,52,11.12,MV,1609366158
318,benavente,42.0,-5.68,37.99,93,20,10.29,ES,1609366158
319,sironko,1.23,34.25,71.56,54,43,2.93,UG,1609366159
320,north potomac,39.08,-77.27,44.01,41,1,8.05,US,1609366159
321,college,64.86,-147.8,12.0,77,75,3.47,US,1609366159
322,maceio,-9.67,-35.74,78.8,78,40,6.93,BR,1609366159
323,andapa,-14.65,49.65,65.95,90,1,2.77,MG,1609366160
324,naples,40.83,14.25,48.0,93,75,1.12,IT,1609365905
325,lumsden,50.65,-104.87,10.4,78,20,8.05,CA,1609366160
326,kotaparh,19.15,82.35,58.06,72,96,3.76,IN,1609366160
327,novyy urengoy,66.08,76.63,-17.63,87,82,7.29,RU,1609366161
328,amapa,1.0,-52.0,81.09,65,52,4.54,BR,1609366161
